IDMAEEDO;TIDO;NUDO;ENDO;SUENDO;SUDO;FEEMDO;FEER;MODO;TIMODO;TIDEVE;TIDEVEFE;TIDEVEHO;PPPRNE;TAMOPPPR;VANELI;FEEMLI;KOFULIDO;LILG;PRCT;NULIDO;FEERLI;SULIDO;BOSULIDO;LUVTLIDO;KOPRCT;UD01PR;NOKOZO;IDMAEDDO;NUSEPR;CAPRCO1;CAPRAD1;CAPREX1;UD02PR;CAPRCO2;CAPRAD2;CAPREX2;OCDO;OBDO;NOKOEN;ZOEN;DIEN;COMUNA;TIPR;NOKOPR;PFPR;FMPR;RUPR;MRPR;STFI1;STFI2;PRRG;KOPRTE;PENDIENTE;MONTO;OBSERVA
537.818,00;NVV;0000427448;10904943-3;;004;23/01/2026;04/02/2026;$;N;;04/02/2026;;15.990,00;1,00;319.800,00;23/01/2026;GMM;SI;FALSO;00001;04/02/2026;004;006;37;PCA113POLNOG1;GL;;1.727.430,00;;20,00;0,00;0,00;GL;20,00;0,00;0,00;;DESPAHCO CLIENTE AVENIDA LLAIMA 645 CUNCO;ROBERTO  GARRIDO   ZARATE;;AVENIDA  LLAIMA 645;CUNCO;FPN;STAIN POLIDECOR NOGAL GL;0002;003;01;;102,00;102,00;VERDADERO;PCA113POLNOG1;20,00;319800;
537.818,00;NVV;0000427448;10904943-3;;004;23/01/2026;04/02/2026;$;N;;04/02/2026;;13.490,00;1,00;1.942.560,00;23/01/2026;GMM;SI;FALSO;00002;04/02/2026;004;006;37;PCA907NEGRO01;GL;;1.727.431,00;;144,00;0,00;0,00;GL;144,00;0,00;0,00;;DESPAHCO CLIENTE AVENIDA LLAIMA 645 CUNCO;ROBERTO  GARRIDO   ZARATE;;AVENIDA  LLAIMA 645;CUNCO;FPN;ZINC ACRYL NEGRO GL.;0001;003;01;;199,00;199,00;VERDADERO;PCA907NEGRO01;144,00;1942560;
537.260,00;NVV;0000427393;129980;;004;20/01/2026;30/01/2026;$;N;;30/01/2026;;15.990,00;1,00;121.524,00;20/01/2026;MLT;SI;FALSO;00001;30/01/2026;004;006;38;PCA113POLALE1;GL;;1.725.820,00;;8,00;0,00;0,00;GL;8,00;0,00;0,00;1224183;DESPACHAR A : ALCALDE RENE SORIANO 2640, OSORNO;ELECTROCOM S.A.;;CAUPOLICAN NRO. 957;TEMUCO;FPN;STAIN POLIDECOR ALERCE GL;0002;003;01;;218,00;218,00;VERDADERO;PCA113POLALE1;8,00;127920;
537.260,00;NVV;0000427393;129980;;004;20/01/2026;30/01/2026;$;N;;30/01/2026;;15.990,00;1,00;121.524,00;20/01/2026;MLT;SI;FALSO;00002;30/01/2026;004;006;38;PCA113POLCAO1;GL;;1.725.821,00;;8,00;0,00;0,00;GL;8,00;0,00;0,00;1224183;DESPACHAR A : ALCALDE RENE SORIANO 2640, OSORNO;ELECTROCOM S.A.;;CAUPOLICAN NRO. 957;TEMUCO;FPN;STAIN POLIDECOR CAOBA GL;0002;003;01;;167,00;167,00;FALSO;PCA113POLCAO1;8,00;127920;
537.260,00;NVV;0000427393;129980;;004;20/01/2026;30/01/2026;$;N;;30/01/2026;;15.990,00;1,00;60.762,00;20/01/2026;MLT;SI;FALSO;00003;30/01/2026;004;006;38;PCA113POLCAS1;GL;;1.725.822,00;;4,00;0,00;0,00;GL;4,00;0,00;0,00;1224183;DESPACHAR A : ALCALDE RENE SORIANO 2640, OSORNO;ELECTROCOM S.A.;;CAUPOLICAN NRO. 957;TEMUCO;FPN;STAIN POLIDECOR CASTAÑO GL;0002;003;01;;169,00;169,00;VERDADERO;PCA113POLCAS1;4,00;63960;
537.260,00;NVV;0000427393;129980;;004;20/01/2026;30/01/2026;$;N;;30/01/2026;;11.090,00;1,00;84.284,00;20/01/2026;MLT;SI;FALSO;00004;30/01/2026;004;006;38;PCA921GRISOS1;GL;;1.725.823,00;;8,00;0,00;0,00;GL;8,00;0,00;0,00;1224183;DESPACHAR A : ALCALDE RENE SORIANO 2640, OSORNO;ELECTROCOM S.A.;;CAUPOLICAN NRO. 957;TEMUCO;FPN;FIBROCOPPER GRIS OSCURO GL;0005;003;;;22,00;22,00;FALSO;PCA921GRISOS1;8,00;88720;
537.260,00;NVV;0000427393;129980;;004;20/01/2026;30/01/2026;$;N;;30/01/2026;;32.860,00;1,00;187.302,00;20/01/2026;MLT;SI;FALSO;00005;30/01/2026;004;006;38;PCA921CHOCOB6;GL;;1.725.824,00;;24,00;0,00;0,00;BD;6,00;0,00;0,00;1224183;DESPACHAR A : ALCALDE RENE SORIANO 2640, OSORNO;ELECTROCOM S.A.;;CAUPOLICAN NRO. 957;TEMUCO;FPN;FIBROCOPPER CHOCOLATE BULNES 4 GALONES;0005;003;;;24,00;6,00;FALSO;PCA921CHOCOB6;6,00;197160;
537.260,00;NVV;0000427393;129980;;004;20/01/2026;30/01/2026;$;N;;30/01/2026;;14.310,00;1,00;54.378,00;20/01/2026;MLT;SI;FALSO;00006;30/01/2026;004;006;38;PCA106BAROBL1;GL;;1.725.825,00;;4,00;0,00;0,00;GL;4,00;0,00;0,00;1224183;DESPACHAR A : ALCALDE RENE SORIANO 2640, OSORNO;ELECTROCOM S.A.;;CAUPOLICAN NRO. 957;TEMUCO;FPN;BARNIZ MARINO ROBLE GL;0002;003;01;;76,00;76,00;FALSO;PCA106BAROBL1;4,00;57240;
537.260,00;NVV;0000427393;129980;;004;20/01/2026;30/01/2026;$;N;;30/01/2026;;19.500,00;1,00;222.300,00;20/01/2026;MLT;SI;FALSO;00007;30/01/2026;004;006;38;PCA922BLAN001;GL;;1.725.826,00;;12,00;0,00;0,00;GL;12,00;0,00;0,00;1224183;DESPACHAR A : ALCALDE RENE SORIANO 2640, OSORNO;ELECTROCOM S.A.;;CAUPOLICAN NRO. 957;TEMUCO;FPN;ESMALTE SINTETICO BLANCO GL.;0002;003;01;;157,00;157,00;VERDADERO;PCA922BLAN001;12,00;234000;
537.260,00;NVV;0000427393;129980;;004;20/01/2026;30/01/2026;$;N;;30/01/2026;;5.100,00;1,00;58.140,00;20/01/2026;MLT;SI;FALSO;00008;30/01/2026;004;006;38;PCA922NEGRO02;GL;;1.725.827,00;;3,00;0,00;0,00;04;12,00;0,00;0,00;1224183;DESPACHAR A : ALCALDE RENE SORIANO 2640, OSORNO;ELECTROCOM S.A.;;CAUPOLICAN NRO. 957;TEMUCO;FPN;ESMALTE SINTETICO NEGRO 1/4;0002;003;01;;55,75;223,00;FALSO;PCA922NEGRO02;12,00;61200;
