KOPR;NOKOPR;UD01PR;UD02PR;KOSU;KOBO;DATOSUBIC;STFI1;STDV1;STOCNV1;STDV1C;STOCNV1C;RECENOFAC1;DESPNOFAC1;STFI2;STDV2;STOCNV2;STDV2C;STOCNV2C;RECENOFAC2;DESPNOFAC2;RLUD;FMPR;PFPR;HFPR;RUPR;MRPR
00990018;CELULON ACRILICO BLANCO;UN;UN;004;006;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;002;;;;
00990018;CELULON ACRILICO BLANCO;UN;UN;001;002;;0,00;68,00;0,00;0,00;0,00;0,00;0,00;0,00;68,00;0,00;0,00;0,00;0,00;0,00;1,00;002;;;;
00990018;CELULON ACRILICO BLANCO;UN;UN;004;011;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;002;;;;
06100221;GREDA DIDEVAL;UN;UN;004;011;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;002;;;;
06100221;GREDA DIDEVAL;UN;UN;001;002;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;002;;;;
1072522;"BROCHA CONDECORA 1""";UN;UN;005;005;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;002;;;;
1072522;"BROCHA CONDECORA 1""";UN;UN;004;006;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;002;;;;
159-Q00000055;ALQUID COATING BLANCO BD.;GL;BD;001;001;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;001;;;;
159-Q00000055;ALQUID COATING BLANCO BD.;GL;BD;005;005;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;001;;;;
159-Q60030051;ALQUID COATING VERDE PROMASA BD.;GL;BD;005;005;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;001;;;;
159-Q60030051;ALQUID COATING VERDE PROMASA BD.;GL;BD;004;011;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;001;;;;
159-Q60030051;ALQUID COATING VERDE PROMASA BD.;GL;BD;004;015;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;001;;;;
159-Q60030051;ALQUID COATING VERDE PROMASA BD.;GL;BD;004;006;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;001;;;;
173-Q20000053;ESMALTE ANT. S/R NARANJA BD;GL;BD;001;001;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;001;;;;
24166321;PINCEL HELA N° 2;UN;UN;005;005;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;002;;;;
2PCAESM905BL5;ESMALTE AL AGUA 905 SEGUNDA BD.;GL;BD;004;009;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;003;0001;0002;;
2PCAESM915BL5;ESMALTE AL AGUA OPACO 915 SEGUNDA BD.;GL;BD;004;009;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;003;0001;0002;;
651-R60290011;EPOXIMEL VERDE 6029 GL.;GL;GL;005;005;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;001;;;;
80040004;DILUYENTE PXL 400 GRANEL;UN;UN;001;001;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;002;;;;
80090014;TAMBOR METALICO VACIO;UN;UN;001;001;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;002;;;;
