productId;name;description;category;pricePerUnit;taxes_0_taxCode;taxes_0_taxName;taxes_0_taxRate;dimensions_weight;dimensions_weightUnit;dimensions_length;dimensions_lengthUnit;dimensions_width;dimensions_widthUnit;dimensions_height;dimensions_heightUnit;dimensions_volume;dimensions_volumeUnit;constraints_minUnit;constraints_stepSize;packaging_unit;packaging_unitName;packaging_packageName;packaging_packageUnit;packaging_amountPerPackage;packaging_boxName;packaging_boxUnit;packaging_amountPerBox;packaging_palletName;packaging_palletUnit;packaging_amountPerPallet;packaging_showFormatUnit;packaging_showFormatPackage;packaging_showFormatBox;group_name;group_description;variant_features_0_key;variant_features_0_value;variant_parentSku;variant_genericDisplayName;variant_index
PCA960CAFEMO2;ESMALTE AL AGUA COPPER CAFE;Esmalte al Agua Satinado con cobre antimicrobiano, rendimiento de 30 a 35 m² por galon con una mano, seca al tacto en 2 a 3 horas, repintado desde 4 horas, alta resistencia al lavado y desinfectantes, ideal para paredes y cielos interiores, contiene agente bacteriostatico, libre de metales pesados, estabilidad de 36 meses en envase cerrado,recomendado para espacios que requieren higiene y proteccion prolongada.;Esmalte al Agua;4890;IVACL;IVA;0.19;1.5;kg;11;cm;11;cm;13;cm;1573;cm³;6;6;1/4 GL;1/4 Galon;Display;DIS;6;Medio Pallet;MPA;228;Pallet;PAL;450;TRUE;FALSE;FALSE;Esmalte al Agua;;Color;CAFE;PCA960ECOPPBL2;ESMALTE AL AGUA COPPER 1/4 GALON;1
PCA960ECOPPBL2;ESMALTE AL AGUA COPPER BLANCO;Esmalte al Agua Satinado con cobre antimicrobiano, rendimiento de 30 a 35 m² por galon con una mano, seca al tacto en 2 a 3 horas, repintado desde 4 horas, alta resistencia al lavado y desinfectantes, ideal para paredes y cielos interiores, contiene agente bacteriostatico, libre de metales pesados, estabilidad de 36 meses en envase cerrado, recomendado para espacios que requieren higiene y proteccion prolongada.;Esmalte al Agua;4890;IVACL;IVA;0.19;1.5;kg;11;cm;11;cm;13;cm;1573;cm³;6;6;1/4 GL;1/4 Galon;Display;DIS;6;Medio Pallet;MPA;228;Pallet;PAL;450;TRUE;FALSE;FALSE;Esmalte al Agua;;Color;BLANCO;PCA960ECOPPBL2;ESMALTE AL AGUA COPPER 1/4 GALON;0
PANES930BL056;ESMALTE AL AGUA SEMIBRILLO 930 BLANCO;Esmalte agua Semi Brillo de imprimacion-terminacion, Rendimiento 35 ± 5 m2 por galon con una mano, Aplicacion Brocha, rodillo y pistola, Secado Tacto 2 – 3 horas, Repintado 3 – 6 horas. Especialmente formulada para ser aplicada sobre superficies de albañileria como estucos, ladrillos, hormigon. Tambien es recomendado para ser aplicado sobre tabiqueria, recubierta por plancha yeso-carton, plancha lisa y acanalada de fibrocemento.Uso interior y exterior.;Esmalte al Agua;52390;IVACL;IVA;0.19;25;kg;31;cm;31;cm;30;cm;29.01;cm³;1;1;BD4;Balde 4 Galones;Display;DIS;1;Medio Pallet;MPA;18;Pallet;PAL;36;TRUE;FALSE;FALSE;Esmalte al Agua;;Color;BLANCO;PANES930BL056;ESMALTE AL AGUA SEMIBRILLO 930 BALDE;0
PCA108INCO006;ESMALTE ANTICORROSIVO DOBLE ACCION BASE OSCURA;Anticorrosivo Doble Accion, imprimacion y terminacion en uno, base solvente con resina alquidica, acabado brillante y liso, rinde 45 ± 5 m² por galon por mano, secado al tacto en 3 a 4 horas y repintado desde 4 horas, alta resistencia a la humedad y a la radiacion UV, excelente adherencia y durabilidad, apto para interior y exterior, libre de metales pesados, estabilidad de 36 meses en envase cerrado, ideal para superficies de acero expuestas a condiciones moderadamente agresivas.;Metales;54000;IVACL;IVA;0.19;25;kg;31;cm;31;cm;30;cm;29.01;cm³;1;1;BD4;Balde 4 Galones;Display;DIS;1;Medio Pallet;MPA;18;Pallet;PAL;36;TRUE;FALSE;FALSE;Pintura para Metales;;Color;BASE OSCURA;PCA108NEGR006;ESMALTE ANTICORROSIVO DOBLE ACCION BALDE;1
PCA824PASELS6;PASTA ELASTICA BLANCA;Pasta para el recubrimiento de superficies de albañileria en general, en donde se desean disimular las imperfecciones de cielos rasos y muros, dejando una textura fina y suave. Rendimiento 15 m2 / Tineta / mano, sobre superficie lisa y sellada. No considera perdidas. Aplicacion Pistola para Pastas y Texturas, Llana y Espatula Metalica, secado tacto 2 a 3 horas y repintado de 4 a 6 horas. Adecuado para aplicar sobre estucos micro-fisurados, para ello se recomienda terminar con nuestro latex elastomerico. No se debe usar como material de reparacion ni de relleno. Este producto se puede aplicar en ambientes expuestos a humedad, en este caso terminar con esmalte al agua copper.;Pastas;26754;IVACL;IVA;0.19;25;kg;31;cm;31;cm;30;cm;29.01;cm³;1;1;BD4;Balde 4 Galones;Display;DIS;1;Medio Pallet;MPA;18;Pallet;PAL;36;TRUE;FALSE;FALSE;Pasta;;Color;BLANCO;PCA824PASELS6;PASTA ELASTICA BALDE;0
PCA824PASTA06;PASTA MURO;Pasta base agua formulada con resinas acrilicas en emulsion acuosa, carbonato de calcio y aditivos especiales. Ofrece un rendimiento teorico de 1 kg por m², segun espesor y rugosidad. Secado al tacto en 2 a 4 horas y lijado despues de 5 horas. Con un acabado mate, esta pasta es ideal para enmascarar, nivelar y decorar superficies interiores con imperfecciones, dejando una terminacion suave y lisa.;Pastas;14038;IVACL;IVA;0.19;25;kg;31;cm;31;cm;30;cm;29.01;cm³;1;1;BD4;Balde 4 Galones;Display;DIS;1;Medio Pallet;MPA;18;Pallet;PAL;36;TRUE;FALSE;FALSE;Pasta;;;;;;
PCA904BASIN06;OLEO SEMI BRILLO BASE OSCURA;Pintura base solvente con resina alquidica, acabado semi brillante, rinde 45 ± 5 m² por galon por mano, secado al tacto en 2 a 3 horas y repintado desde 3 horas, buena resistencia a la humedad, gran adherencia y durabilidad, apto para interior y exterior, libre de metales pesados, estabilidad de 36 meses en envase cerrado, ideal para superficies de madera solida y MDF expuestas a uso frecuente o condiciones exigentes.;Oleo;51490;IVACL;IVA;0.19;25;kg;31;cm;31;cm;30;cm;29.01;cm³;1;1;BD4;Balde 4 Galones;Display;DIS;1;Medio Pallet;MPA;18;Pallet;PAL;36;TRUE;FALSE;FALSE;Oleo;;Color;BASE OSCURA;PCA904BLAN056;OLEO SEMI BRILLO BALDE;1
PCA907BASE056;ZINC ACRYL BASE INCOLORA;Anticorrosivo base agua o Pintura para Zinc y Galvanizados con acabado satinado, rinde 30 m² por galon por mano, secado al tacto en 2 a 3 horas y repintado desde 3 horas, excelente poder cubridor y resistencia a la intemperie, se aplica con brocha, rodillo o pistola, diluible con agua, libre de metales pesados, estabilidad de 36 meses en envase cerrado, ideal para techos nuevos de zinc, galvanizado, zincalum y fibrocemento, protegiendolos de oxidacion, rayos UV y contaminacion ambiental.;Especialidades;42990;IVACL;IVA;0.19;25;kg;31;cm;31;cm;30;cm;29.01;cm³;1;1;BD4;Balde 4 Galones;Display;DIS;1;Medio Pallet;MPA;18;Pallet;PAL;36;TRUE;FALSE;FALSE;Pinturas Especiales;;Color;BASE INCOLORA;PCA907NEGRO06;ZINC ACRYL BALDE;1
PCA908BASIN06;IMPRIMANTE TEXTURA BASE INCOLORA;Pintura base agua formulada con resinas copolimero acrilico en emulsion acuosa, pigmentos organicos e inorganicos, aditivos especiales y extenders adecuados. Ofrece un rendimiento teorico de 35 ± 5 m² por galon y mano. Se seca al tacto en 2 a 4 horas y se puede repintar a partir de 6 horas. Ideal para uso interior y exterior, especialmente como acondicionador de superficies texturadas, dejando un acabado firme con absorcion uniforme.;Texturas;18436;IVACL;IVA;0.19;25;kg;31;cm;31;cm;30;cm;29.01;cm³;1;1;BD4;Balde 4 Galones;Display;DIS;1;Medio Pallet;MPA;18;Pallet;PAL;36;TRUE;FALSE;FALSE;Texturas;;Color;BASE INCOLORA;PCA912IMPTEX6;IMPRIMANTE TEXTURA BASE INCOLORA BALDE;1
PCA909BCOL006;ESTUCO HORMIGON BASE INCOLORA;Estuco hormigon base agua, formulado con resinas acrilicas, ideal para enmascarar, decorar e impermeabilizar superficies rigidas y neutras tanto en interiores como exteriores. Ofrece un acabado texturado, de alta adherencia sobre muros estucados, ladrillos, fibrocemento, madera, poliestireno expandido, y otros materiales flexibles. Rendimiento teorico de 10 a 12 m² por tineta, secado al tacto entre 2 y 4 horas, repintado desde 6 horas. No requiere dilucion y se aplica con llana metalica, rodillo o pistola texturadora. Producto libre de plomo, mercurio, cromo y metales pesados, cumpliendo con las normativas de atoxicidad ASTM-F-963 y EN-71-3. Estabilidad garantizada de 36 meses en envases cerrados.;Texturas;30294;IVACL;IVA;0.19;25;kg;31;cm;31;cm;30;cm;29.01;cm³;1;1;BD4;Balde 4 Galones;Display;DIS;1;Medio Pallet;MPA;18;Pallet;PAL;36;TRUE;FALSE;FALSE;Texturas;;Color;BASE INCOLORA;PCA909BLAN006;ESTUCO HORMIGON BASE INCOLORA BALDE;1
