,PRESUPUESTO 2026,,,,,,,,,,,,
,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,TOTAL
MCT,LUCAS,,,,,,,,,,,,
TEMUCO,$15.000.000,$15.000.000,$22.000.000,$22.000.000,$17.000.000,$20.000.000,$17.000.000,$18.000.000,$30.000.000,$25.000.000,$35.000.000,$50.000.000,$286.000.000
LOS ANGELES,$15.000.000,$18.000.000,$20.000.000,$15.000.000,$16.000.000,$16.000.000,$18.000.000,$17.000.000,$20.000.000,$25.000.000,$25.000.000,$40.000.000,$245.000.000
CONCEPCION,$2.000.000,$2.000.000,$2.500.000,$2.500.000,$2.500.000,$2.500.000,$2.500.000,$2.500.000,$3.500.000,$5.500.000,$6.000.000,$8.000.000,$42.000.000
VILLARRICA,$2.500.000,$2.500.000,$2.500.000,$2.000.000,$1.500.000,$1.500.000,$1.500.000,$1.500.000,$2.000.000,$2.500.000,$2.500.000,$2.500.000,$25.000.000
OSORNO,$2.500.000,$5.000.000,$5.000.000,$3.500.000,$3.500.000,$1.500.000,$1.500.000,$2.000.000,$2.500.000,$3.500.000,$5.000.000,$7.000.000,$42.500.000
CASTRO,$2.000.000,$2.000.000,$1.500.000,$1.000.000,$1.000.000,$1.000.000,$1.000.000,$2.000.000,$2.000.000,$2.000.000,$2.500.000,$2.000.000,$20.000.000
TOTAL ,$39.000.000,$44.500.000,$53.500.000,$46.000.000,$41.500.000,$42.500.000,$41.500.000,$43.000.000,$60.000.000,$63.500.000,$76.000.000,$109.500.000,$660.500.000
,,,,,,,,,,,,,
PANORAMICA STORE,,,,,,,,,,,,,
TEMUCO,$50.000.000,$50.000.000,$50.000.000,$40.000.000,$35.000.000,$35.000.000,$30.000.000,$35.000.000,$45.000.000,$40.000.000,$45.000.000,$45.000.000,$500.000.000
,,,,,,,,,,,,,
CONSTRUCCION,,,,,,,,,,,,,
