,,PRESUPUESTO 2026,,,,,,,,,,,,
,,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,TOTAL
,,,,,,,,,,,,,,
  DIGITAL,,,,,,,,,,,,,,
 Diseño Grafico,, $  200.000 , $  200.000 , $  200.000 , $  200.000 , $  200.000 , $  200.000 , $  200.000 , $  200.000 , $  200.000 , $  200.000 , $  200.000 , $  200.000 , $  2.400.000 
 Google Ads,, $  300.000 , $  300.000 , $  300.000 , $  300.000 , $  300.000 , $  300.000 , $  300.000 , $  300.000 , $  300.000 , $  300.000 , $  300.000 , $  300.000 , $  3.600.000 
 Meta Ads,, $  200.000 , $  200.000 , $  200.000 , $  200.000 , $  200.000 , $  200.000 , $  200.000 , $  200.000 , $  200.000 , $  200.000 , $  200.000 , $  200.000 , $  2.400.000 
 Filmmaker (4 reels y 12 historias),, $  400.000 , $  400.000 , $  400.000 , $  400.000 , $  400.000 , $  400.000 , $  400.000 , $  400.000 , $  400.000 , $  400.000 , $  400.000 , $  400.000 , $  4.800.000 
 Marketing,, $  800.000 , $  800.000 , $  800.000 , $  800.000 , $  800.000 , $  800.000 , $  800.000 , $  800.000 , $  800.000 , $  800.000 , $  800.000 , $  800.000 , $  9.600.000 
 Jorge Nahuelfil,, $  500.000 , $  500.000 , $  500.000 , $  500.000 , $  500.000 , $  500.000 , $  500.000 , $  500.000 , $  500.000 , $  500.000 , $  500.000 , $  500.000 , $  6.000.000 
 TOTAL ,, $  2.400.000 , $  2.400.000 , $  2.400.000 , $  2.400.000 , $  2.400.000 , $  2.400.000 , $  2.400.000 , $  2.400.000 , $  2.400.000 , $  2.400.000 , $  2.400.000 , $  2.400.000 , $  28.800.000 
,,,,,,,,,,,,,,
 MEDIOS TRADICIONALES,,,,,,,,,,,,,,
