productId,name,dimensions_weight,dimensions_weightUnit,dimensions_length,dimensions_lengthUnit,dimensions_width,dimensions_widthUnit,dimensions_height,dimensions_heightUnit,dimensions_volume,dimensions_volumeUnit,constraints_minUnit,constraints_stepSize,packaging_unit,packaging_unitName,packaging_packageName,packaging_amountPerPackage,packaging_boxName,packaging_amountPerBox,packaging_palletName,packaging_amountPerPallet,group_name,variant_features_0_key,variant_features_0_value,variant_parentSku,variant_genericDisplayName,variant_index
PCA960CAFEMO2,ESMALTE AL AGUA COPPER CAFE,1.5,kg,11,cm,11,cm,13,cm,1573,cm³,6,6,1/4 GL,1/4 Galon,Display,6,Medio Pallet,228,Pallet,450,Esmalte al Agua,Color,CAFE,PCA960ECOPPBL2,ESMALTE AL AGUA COPPER 1/4 GALON,1
PCA960ECOPPBL2,ESMALTE AL AGUA COPPER BLANCO,1.5,kg,11,cm,11,cm,13,cm,1573,cm³,6,6,1/4 GL,1/4 Galon,Display,6,Medio Pallet,228,Pallet,450,Esmalte al Agua,Color,BLANCO,PCA960ECOPPBL2,ESMALTE AL AGUA COPPER 1/4 GALON,0
PANES930BL056,ESMALTE AL AGUA SEMIBRILLO 930 BLANCO,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Esmalte al Agua,Color,BLANCO,PANES930BL056,ESMALTE AL AGUA SEMIBRILLO 930 BALDE,0
PCA108INCO006,ESMALTE ANTICORROSIVO DOBLE ACCION BASE OSCURA,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Pintura para Metales,Color,BASE OSCURA,PCA108BLAN006,ESMALTE ANTICORROSIVO DOBLE ACCION BALDE,1
PCA824PASELS6,PASTA ELASTICA BLANCA,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Pasta,Color,BLANCO,PCA824PASELS6,PASTA ELASTICA BALDE,0
PCA824PASTA06,PASTA MURO,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Pasta,,,,,
PCA904BASIN06,OLEO SEMI BRILLO BASE OSCURA,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Oleo,Color,BASE OSCURA,PCA904BLAN056,OLEO SEMI BRILLO BALDE,1
PCA907BASE056,ZINC ACRYL BASE INCOLORA,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Pinturas Especiales,Color,BASE INCOLORA,PCA907BLAN056,ZINC ACRYL BALDE,1
PCA908BASIN06,IMPRIMANTE TEXTURA BASE INCOLORA,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Texturas,Color,BASE INCOLORA,PCA912IMPTEX6,IMPRIMANTE TEXTURA BASE INCOLORA BALDE,1
PCA909BCOL006,ESTUCO HORMIGON BASE INCOLORA,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Texturas,Color,BASE INCOLORA,PCA909BLAN006,ESTUCO HORMIGON BASE INCOLORA BALDE,1
PCA909BLAN006,ESTUCO HORMIGON BLANCO,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Texturas,Color,BLANCO,PCA909BLAN006,ESTUCO HORMIGON BASE INCOLORA BALDE,0
PCA909G10BI06,ESTUCO ELASTOMERICO G-10 BASE INCOLORA,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Texturas,Color,BASE INCOLORA,PCA909G10BL06,ESTUCO ELASTOMERICO G-10 BALDE,1
PCA909G10BL06,ESTUCO ELASTOMERICO G-10 BLANCO,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Texturas,Color,BLANCO,PCA909G10BL06,ESTUCO ELASTOMERICO G-10 BALDE,0
PCA909G25BI06,ESTUCO ELASTOMERICO G-25 INCOLORO,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Texturas,Color,INCOLORO,PCA909G25BL06,ESTUCO ELASTOMERICO G-25 BALDE,1
PCA909G25BL06,ESTUCO ELASTOMERICO G-25 BLANCO,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Texturas,Color,BLANCO,PCA909G25BL06,ESTUCO ELASTOMERICO G-25 BALDE,0
PCA909TEXREN6,TEXTURENE G-10 BLANCO,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Texturas,Color,BLANCO,PCA909TEXREN6,TEXTURENE G-10 BALDE,0
PCA912EI10BL6,TEXTU EIFS G-10 BLANCO,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Texturas,Color,BLANCO,PCA912EI10BL6,TEXTU EIFS G-10 BALDE,0
PCA912EI25BL6,TEXTU EIFS G-25 BLANCO,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Texturas,Color,BLANCO,PCA912EI25BL6,TEXTU EIFS G-25 BALDE,0
PCA912EIFSIN6,TEXTU EIFS G-10 BASE INCOLORA,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Texturas,Color,BASE INCOLORA,PCA912EI10BL6,TEXTU EIFS G-10 BALDE,1
PCA912G25BIN6,TEXTU EIFS G-25 BASE INCOLORA,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Texturas,Color,BASE INCOLORA,PCA912EI25BL6,TEXTU EIFS G-25 BALDE,1
PCA912G10BI06,PROFINISH  G-10 BASE INCOLORA,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Texturas,Color,BASE INCOLORA,PCA912G10BLA6,PROFINISH G-10 BALDE,1
PCA912G10BLA6,PROFINISH G-10 BLANCO,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Texturas,Color,BLANCO,PCA912G10BLA6,PROFINISH G-10 BALDE,0
PCA912G25BI06,PROFINISH G-25 BASE INCOLORA,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Texturas,Color,BASE INCOLORA,PCA912G25BL06,PROFINISH G-25 BALDE,1
PCA912G25BL06,PROFINISH G-25 BLANCO,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Texturas,Color,BLANCO,PCA912G25BL06,PROFINISH G-25 BALDE,0
PCA912IMPTEX6,IMPRIMANTE TEXTURA BLANCO,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Texturas,Color,BLANCO,PCA912IMPTEX6,IMPRIMANTE TEXTURA BASE INCOLORA BALDE,0
PCA916LOSA006,PASTA LOSA PLUS,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Pasta,,,,,
PCA920INCOBR6,SELLADOR PAPEL COPPER,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Sellador,,,,,
PCA922BOSC056,ESMALTE SINTETICO BASE OSCURA,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Pintura para Metales,Color,BASE OSCURA,PCA922BLAN056,ESMALTE SINTETICO BALDE,2
PCA925BLAN056,HIDRO COPPER BLANCO,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Balde 4 Galones,Display,1,Medio Pallet,18,Pallet,36,Pinturas Especiales,Color,BLANCO,PCA925BLAN056,HIDRO COPPER BALDE,0
